1,Appetizer - Southwestern,Inspection of Right Hip Joint, Open Approach,95.97
2,Mustard - Dijon,Supplement Aort Valve fr Trunc Vlv w Nonaut Sub, Perc,97.81
3,Arizona - Green Tea,CT Scan Pelvic Region w H Osm Contrast, Unenh, Enhance,86.28
4,Sauce - Soya, Dark,Dilation of Left Brachial Artery, Bifurcation, Open Approach,98.16
5,Juice - Tomato, 48 Oz,Removal of Drainage Device from Upper Artery, Perc Approach,64.77
6,Juice - Prune,Occlusion of Up Esophag with Extralum Dev, Perc Approach,95.22
7,Ginger - Ground,Release Peroneal Nerve, Open Approach,18.76
8,Ice Cream - Turtles Stick Bar,Revision of Synth Sub in L Ankle Jt, Open Approach,28.06
9,Soup - Knorr, Veg / Beef,Supplement R Int Carotid with Synth Sub, Perc Endo Approach,9.76
10,Wine - Beaujolais Villages,Revision of Nonaut Sub in Lumsac Disc, Open Approach,67.56
11,Cake - Lemon Chiffon,Removal of VAD from Low Extrem Subcu/Fascia, Extern Approach,49.47
12,Garlic - Primerba, Paste,Reposition L Metacarpocarp Jt with Ext Fix, Open Approach,35.39
13,Tequila - Sauza Silver,Extirpate of Matter from Ileocecal Valve, Perc Endo Approach,21.56
14,Basil - Pesto Sauce,Reposition Left Upper Arm Tendon, Open Approach,12.86
15,Tea - Earl Grey,Drainage of Rectum with Drainage Device, Endo,27.13
16,Broom - Angled,Repair Right Shoulder Region, Perc Endo Approach,84.58
17,Flour - Strong,Destruction of Nose, Percutaneous Endoscopic Approach,80.39
18,Mousse - Banana Chocolate,Extirpation of Matter from Occip Jt, Perc Endo Approach,82.11
19,Tea - English Breakfast,Removal of Intraluminal Device from Stomach, Extern Approach,60.1
20,Table Cloth 62x114 White,Beam Radiation of Prostate using Heavy Particles,85.25